Flare Class,Start Time,Peak Time,End Time,Active Region Number,Harp Number,CME
X1.3,2017-09-07T14:20Z,2017-09-07T14:36Z,2017-09-07T14:55Z,12673,7115,2017-09-07T15:12:00-CME-001
M8.1,2017-09-08T07:40Z,2017-09-08T07:49Z,2017-09-08T07:58Z,12673,7115,2017-09-08T07:24:00-CME-001
M7.3,2017-09-07T10:11Z,2017-09-07T10:15Z,2017-09-07T10:18Z,12673,7115,2017-09-07T10:48:00-CME-001
M5.5,2017-09-04T20:28Z,2017-09-04T20:33Z,2017-09-04T20:37Z,12673,7115,2017-09-04T20:36:00-CME-001
M4.2,2017-09-05T01:03Z,2017-09-05T01:08Z,2017-09-05T01:11Z,12673,7115,No
M3.9,2017-09-07T23:50Z,2017-09-07T23:59Z,2017-09-08T00:14Z,12673,7115,2017-09-07T23:36:00-CME-001
M3.8,2017-09-05T06:33Z,2017-09-05T06:40Z,2017-09-05T06:43Z,12673,7115,No
M3.7,2017-09-09T10:50Z,2017-09-09T11:04Z,2017-09-09T11:42Z,12673,7115,No
M3.2,2017-09-05T04:33Z,2017-09-05T04:53Z,2017-09-05T05:07Z,12673,7115,No
M3.0,2017-09-08T15:09Z,2017-09-08T15:47Z,2017-09-08T16:04Z,12673,7115,No
M2.5,2017-09-06T15:51Z,2017-09-06T15:56Z,2017-09-06T16:03Z,12673,7115,No
M2.4,2017-09-07T04:59Z,2017-09-07T05:02Z,2017-09-07T05:08Z,12673,7115,No
M2.3,2017-09-05T17:37Z,2017-09-05T17:43Z,2017-09-05T17:51Z,12673,7115,No
M2.1,2017-09-04T22:10Z,2017-09-04T22:14Z,2017-09-04T22:19Z,12673,7115,No
M2.1,2017-09-08T23:33Z,2017-09-08T23:45Z,2017-09-08T23:56Z,12673,7115,No
M1.7,2017-09-04T18:46Z,2017-09-04T19:37Z,2017-09-04T19:52Z,12673,7115,No
M1.5,2017-09-04T15:11Z,2017-09-04T15:30Z,2017-09-04T15:33Z,12673,7115,2017-09-04T19:39:00-CME-001
M1.5,2017-09-04T19:59Z,2017-09-04T20:02Z,2017-09-04T20:06Z,12673,7115,No
M1.4,2017-09-06T19:21Z,2017-09-06T19:30Z,2017-09-06T19:35Z,12673,7115,No
M1.4,2017-09-07T09:49Z,2017-09-07T09:54Z,2017-09-07T09:58Z,12673,7115,No
M1.3,2017-09-08T02:19Z,2017-09-08T02:24Z,2017-09-08T02:29Z,12673,7115,No
M1.2,2017-09-08T03:39Z,2017-09-08T03:43Z,2017-09-08T03:45Z,12673,7115,2017-09-08T04:17:00-CME-001
M1.2,2017-09-04T05:36Z,2017-09-04T05:49Z,2017-09-04T06:05Z,12673,7115,No
M1.1,2017-09-09T04:14Z,2017-09-09T04:28Z,2017-09-09T04:43Z,12673,7115,No
M1.1,2017-09-09T22:04Z,2017-09-09T23:53Z,2017-09-10T00:41Z,12673,7115,No
M1.0,2017-09-04T18:05Z,2017-09-04T18:22Z,2017-09-04T18:31Z,12673,7115,2017-09-04T19:39:00-CME-001
M1.0,2017-09-05T03:42Z,2017-09-05T03:51Z,2017-09-05T04:04Z,12673,7115,No
M1.1,2017-10-20T23:10Z,2017-10-20T23:28Z,2017-10-20T23:37Z,12685,7169,2017-10-21T00:12:00-CME-001
