Flare Class,Start Time,Peak Time,End Time,Active Region Number,Harp Number,CME
M5.7,2014-11-16T17:35Z,2014-11-16T17:48Z,2014-11-16T17:57Z,12209,4817,No
M3.7,2014-11-15T20:38Z,2014-11-15T20:46Z,2014-11-15T20:50Z,12209,4817,2014-11-15T21:12:00-CME-001
M3.2,2014-11-15T11:40Z,2014-11-15T12:03Z,2014-11-15T12:10Z,12209,4817,No
M6.1,2014-12-04T18:05Z,2014-12-04T18:25Z,2014-12-04T18:56Z,12222,4874,No
M1.8,2014-12-01T06:26Z,2014-12-01T06:41Z,2014-12-01T06:59Z,12222,4874,No
M1.5,2014-12-05T11:33Z,2014-12-05T12:25Z,2014-12-05T12:47Z,12222,4874,No
M1.3,2014-12-04T08:00Z,2014-12-04T08:10Z,2014-12-04T08:21Z,12222,4874,No
M1.3,2014-12-04T19:38Z,2014-12-04T19:41Z,2014-12-04T19:44Z,12222,4874,No
X1.8,2014-12-20T00:11Z,2014-12-20T00:28Z,2014-12-20T00:55Z,12242,4920,2014-12-20T01:25:00-CME-001
M8.7,2014-12-17T04:25Z,2014-12-17T04:51Z,2014-12-17T05:20Z,12242,4920,2014-12-17T05:00:00-CME-001
M1.6,2014-12-14T19:25Z,2014-12-14T19:33Z,2014-12-14T19:39Z,12242,4920,No
M1.5,2014-12-17T00:57Z,2014-12-17T01:10Z,2014-12-17T01:20Z,12242,4920,No
M1.3,2014-12-19T09:31Z,2014-12-19T09:44Z,2014-12-19T09:54Z,12242,4920,No
M1.2,2014-12-21T07:18Z,2014-12-21T07:32Z,2014-12-21T07:51Z,12242,4920,No
M1.0,2014-12-22T01:33Z,2014-12-22T01:49Z,2014-12-22T01:59Z,12242,4920,No
M6.9,2014-12-18T21:41Z,2014-12-18T21:58Z,2014-12-18T22:25Z,12241,4941,2014-12-19T00:27:00-CME-001
M1.5,2014-12-13T05:13Z,2014-12-13T05:20Z,2014-12-13T05:25Z,12241,4941,No
M1.4,2014-12-17T18:54Z,2014-12-17T19:01Z,2014-12-17T19:20Z,12241,4941,No
M1.1,2014-12-17T01:41Z,2014-12-17T01:50Z,2014-12-17T01:57Z,12241,4941,2014-12-17T02:00:00-CME-001
M1.0,2014-12-21T11:24Z,2014-12-21T12:17Z,2014-12-21T12:57Z,12241,4941,No
M2.2,2014-12-27T02:03Z,2014-12-27T02:16Z,2014-12-27T02:24Z,12249,4955,No
M1.3,2015-01-04T15:18Z,2015-01-04T15:36Z,2015-01-04T15:53Z,12253,5011,No
M1.1,2015-01-03T09:40Z,2015-01-03T09:47Z,2015-01-03T09:50Z,12253,5011,No
M5.6,2015-01-13T04:13Z,2015-01-13T04:24Z,2015-01-13T04:38Z,12257,5026,2015-01-13T05:24:00-CME-001
M4.9,2015-01-13T04:46Z,2015-01-13T04:58Z,2015-01-13T05:10Z,12257,5026,No
M2.2,2015-01-14T12:30Z,2015-01-14T12:58Z,2015-01-14T13:08Z,12257,5026,No
M2.1,2015-01-29T11:32Z,2015-01-29T11:42Z,2015-01-29T11:52Z,12268,5107,No
M2.0,2015-01-30T00:32Z,2015-01-30T00:44Z,2015-01-30T01:02Z,12268,5107,No
M1.7,2015-01-30T05:29Z,2015-01-30T05:36Z,2015-01-30T06:35Z,12268,5107,No
M1.4,2015-01-22T04:43Z,2015-01-22T04:52Z,2015-01-22T05:02Z,12268,5107,No
M1.4,2015-01-28T04:21Z,2015-01-28T04:41Z,2015-01-28T04:55Z,12268,5107,No
M1.1,2015-01-26T16:46Z,2015-01-26T16:53Z,2015-01-26T16:58Z,12268,5107,No
M2.4,2015-01-30T12:10Z,2015-01-30T12:16Z,2015-01-30T12:21Z,12277,5127,No
M1.2,2015-02-04T02:08Z,2015-02-04T02:15Z,2015-02-04T02:21Z,12277,5127,No
M1.0,2015-01-28T21:32Z,2015-01-28T21:37Z,2015-01-28T21:40Z,12277,5127,No
M2.4,2015-02-09T22:19Z,2015-02-09T23:35Z,2015-02-10T00:16Z,12280,5144,2015-02-09T23:24:00-CME-001
M2.4,2015-02-09T22:59Z,2015-02-09T23:35Z,2015-02-10T00:14Z,12282,5186,2015-02-09T23:24:00-CME-001
M8.2,2015-03-03T01:25Z,2015-03-03T01:35Z,2015-03-03T01:42Z,12290,5233,No
M4.1,2015-03-02T19:21Z,2015-03-02T19:31Z,2015-03-02T19:36Z,12290,5233,No
M3.7,2015-03-02T15:10Z,2015-03-02T15:28Z,2015-03-02T15:37Z,12290,5233,No
M1.1,2015-03-02T08:52Z,2015-03-02T09:48Z,2015-03-02T09:58Z,12290,5233,No
M1.1,2015-03-02T09:37Z,2015-03-02T09:48Z,2015-03-02T09:58Z,12290,5233,No
M1.0,2015-03-02T06:31Z,2015-03-02T06:39Z,2015-03-02T06:44Z,12290,5233,No
X2.2,2015-03-11T16:11Z,2015-03-11T16:22Z,2015-03-11T16:29Z,12297,5298,2015-03-11T18:00:00-CME-001
M9.2,2015-03-07T21:45Z,2015-03-07T22:22Z,2015-03-07T22:58Z,12297,5298,2015-03-07T22:24:00-CME-001
M5.8,2015-03-09T23:29Z,2015-03-09T23:53Z,2015-03-10T00:12Z,12297,5298,2015-03-10T00:00:00-CME-001
M5.1,2015-03-10T03:19Z,2015-03-10T03:24Z,2015-03-10T03:28Z,12297,5298,2015-03-10T03:36:00-CME-001
M4.5,2015-03-09T14:22Z,2015-03-09T14:33Z,2015-03-09T14:37Z,12297,5298,No
M4.2,2015-03-12T13:50Z,2015-03-12T14:08Z,2015-03-12T14:13Z,12297,5298,No
M3.2,2015-03-12T04:41Z,2015-03-12T04:46Z,2015-03-12T04:50Z,12297,5298,No
M3.0,2015-03-06T04:14Z,2015-03-06T04:57Z,2015-03-06T05:27Z,12297,5298,2015-03-06T04:49:00-CME-001
M2.9,2015-03-10T23:46Z,2015-03-11T00:02Z,2015-03-11T00:06Z,12297,5298,No
M2.7,2015-03-12T21:44Z,2015-03-12T21:51Z,2015-03-12T21:56Z,12297,5298,No
M2.6,2015-03-11T07:51Z,2015-03-11T07:57Z,2015-03-11T08:03Z,12297,5298,No
M1.8,2015-03-11T07:10Z,2015-03-11T07:18Z,2015-03-11T07:43Z,12297,5298,No
M1.8,2015-03-13T05:49Z,2015-03-13T06:07Z,2015-03-13T06:12Z,12297,5298,No
M1.6,2015-03-12T11:38Z,2015-03-12T11:50Z,2015-03-12T12:02Z,12297,5298,No
M1.6,2015-03-16T10:39Z,2015-03-16T10:58Z,2015-03-16T11:17Z,12297,5298,No
